dateupload,id,latitude,longitude,owner,tags,title,url_sq
1439864280,20644310746,24.434575,-81.93782,52272069@N00,,,https://farm1.staticflickr.com/637/20644310746_622ff7ace8_m.jpg
1301069573,5558960552,24.433333,-81.942167,46225217@N00,,,https://farm6.staticflickr.com/5149/5558960552_80af5c31d6_m.jpg
1501413716,36126587031,24.453888,-81.866667,85100010@N07,,Floride Juillet 2017,https://farm5.staticflickr.com/4321/36126587031_8b39ceb267_m.jpg
1501413696,35428118854,24.453333,-81.874445,85100010@N07,,Floride Juillet 2017,https://farm5.staticflickr.com/4293/35428118854_149d284f09_m.jpg
1489578931,33325912801,24.454405,-81.875214,21467315@N00,1853 19thcenturylighthouses atlanticocean editorialphotography florida floridakeys floridakeyslighthouses floridakeysoffshorereeflighthouses floridareeflighthouses floridareeflights floridalighthouses floridays gulfofmexico keywest lowerkeys michaelapancier michaelpancierphotography offshorelighthouses reeflights rockkeychannel sandkeychannel sandkeylight sandkeylighthouse southflorida thekeys commercialphotography fineartphotographer landscapephotographer lighthouses naturephotographer travelphotography wwwmichaelpancierphotographycom unitedstates us,Sand Key Lighthouse,https://farm3.staticflickr.com/2818/33325912801_b7acc8db54_m.jpg
1486922166,32821462606,24.465899,-81.870284,12276024@N04,,Snokeling Trip Sand Key Lighthouse (5),https://farm3.staticflickr.com/2731/32821462606_9e40188d80_m.jpg
1486922165,32862586235,24.465899,-81.870284,12276024@N04,,Snokeling Trip Sand Key Lighthouse (6),https://farm3.staticflickr.com/2887/32862586235_64552f6686_m.jpg
1486922165,32862578985,24.470283,-81.866517,12276024@N04,,Snokeling Trip Sand Key Lighthouse (7),https://farm1.staticflickr.com/336/32862578985_b316f1f885_m.jpg
1485718020,31782309273,24.452733,-81.879484,12276024@N04,,Sand Key Lighthouse Snorkeling,https://farm1.staticflickr.com/387/31782309273_0319dc091d_m.jpg
1485718019,32553677926,24.452733,-81.879484,12276024@N04,,Sand Key Lighthouse Snorkeling (2),https://farm1.staticflickr.com/555/32553677926_0eb598f242_m.jpg
1485718019,32441388752,24.45255,-81.879767,12276024@N04,,Sand Key Lighthouse Snorkeling (3),https://farm1.staticflickr.com/448/32441388752_42b4e69475_m.jpg
1485718019,31750455794,24.474033,-81.866334,12276024@N04,,Sand Key Lighthouse Snorkeling (4),https://farm1.staticflickr.com/371/31750455794_0f70d7fab6_m.jpg
1485718011,32553637746,24.454216,-81.879067,12276024@N04,,Sand Key Lighthouse Snorkeling Trip (6),https://farm1.staticflickr.com/517/32553637746_e7566561b3_m.jpg
1485718011,32214954590,24.454216,-81.879067,12276024@N04,,Sand Key Lighthouse Snorkeling Trip (7),https://farm1.staticflickr.com/566/32214954590_b7c34a242a_m.jpg
1485718010,32553632806,24.454216,-81.879067,12276024@N04,,Sand Key Lighthouse Snorkeling Trip (8),https://farm1.staticflickr.com/621/32553632806_b9c4224a8b_m.jpg
1471224399,28956945616,24.488419,-81.89097,146198299@N03,,Sailboat,https://farm8.staticflickr.com/7787/28956945616_910c9ec8fc_m.jpg
1385923686,11156593346,24.447233,-81.882064,80715367@N00,,DSCN0179,https://farm4.staticflickr.com/3744/11156593346_bfff997db3_m.jpg
1372252866,9141693633,24.451861,-81.8784,92400821@N06,flickrandroidapp:filter=none,,https://farm8.staticflickr.com/7303/9141693633_7194513332_m.jpg
1372252858,9141692967,24.451861,-81.8784,92400821@N06,flickrandroidapp:filter=none,,https://farm3.staticflickr.com/2867/9141692967_a27836bee4_m.jpg
1371584645,9077393109,24.452777,-81.8775,66288373@N05,florida scuba diving scubadiving keywest watersports floridakeys greatbarracuda sandkey sphyraenabarracuda,Giant Barracuda,https://farm8.staticflickr.com/7455/9077393109_48e5a733b7_m.jpg
1371584608,9079613878,24.452777,-81.8775,66288373@N05,florida ryan scuba diving scubadiving keywest watersports floridakeys sandkey purpleseafan gorgoniaventalina,Scuba Snap,https://farm6.staticflickr.com/5477/9079613878_598dcf3b84_m.jpg
1371584571,9079609292,24.452777,-81.8775,66288373@N05,florida scuba diving scubadiving keywest watersports floridakeys wrasse staghorncoral sandkey labridae purpleseafan acroporacervicornis gorgoniaventalina yellowwrasse halichoere,Yellow Swirls,https://farm6.staticflickr.com/5548/9079609292_d4c93a579e_m.jpg
1371584531,9077378681,24.452777,-81.8775,66288373@N05,florida scuba diving scubadiving keywest watersports floridakeys sandkey caribbeanreefshark carcharhinusperezii,Caribbean Reef Shark,https://farm4.staticflickr.com/3710/9077378681_b8833a2e17_m.jpg
1371584507,9077375805,24.452777,-81.8775,66288373@N05,florida scuba diving scubadiving keywest watersports porcupinefish floridakeys wrasse sandkey labridae diodontidae purpleseafan gorgoniaventalina yellowwrasse halichoere,Big Eyes,https://farm4.staticflickr.com/3730/9077375805_1afa78c67a_m.jpg
1371584483,9077373081,24.452777,-81.8775,66288373@N05,florida ryan scuba diving scubadiving keywest watersports floridakeys sandkey,Bubbles,https://farm6.staticflickr.com/5475/9077373081_8dcfbf9d55_m.jpg
1371584448,9079594804,24.452777,-81.8775,66288373@N05,florida scuba diving scubadiving keywest watersports floridakeys sandkey,"My, what big teeth you have!",https://farm6.staticflickr.com/5459/9079594804_0110659b09_m.jpg
1371584408,9077364241,24.452777,-81.8775,66288373@N05,florida scuba diving scubadiving keywest watersports floridakeys sandkey,Sunbeams,https://farm8.staticflickr.com/7374/9077364241_65aa16ba3f_m.jpg
1371584384,9079586756,24.452777,-81.8775,66288373@N05,florida ryan scuba diving scubadiving keywest watersports colette floridakeys sandkey,Diving Buddies,https://farm6.staticflickr.com/5503/9079586756_a5b82569dd_m.jpg
1371584356,9079583384,24.452777,-81.8775,66288373@N05,florida scuba diving scubadiving keywest watersports floridakeys parrotfish sandkey rainbowparrotfish scarusguacamaia scaridae,Rainbow Parrotfish,https://farm4.staticflickr.com/3712/9079583384_1791cec185_m.jpg
1371584322,9079578810,24.452777,-81.8775,66288373@N05,florida scuba diving scubadiving keywest watersports floridakeys sergeantmajor abudefduf staghorncoral sandkey acroporacervicornis,Pillar of Light,https://farm3.staticflickr.com/2883/9079578810_5716aee691_m.jpg
1371571669,9075840813,24.452697,-81.877563,66288373@N05,florida scuba diving scubadiving keywest watersports floridakeys sergeantmajor abudefduf queenangelfish sandkey gopro holacanthusciliaris hero3black,A beautiful Queen angelfish,https://farm4.staticflickr.com/3717/9075840813_ddeff18b15_m.jpg
1371571625,9078062232,24.452697,-81.877563,66288373@N05,fauna florida jim scuba diving scubadiving keywest watersports eel animalia floridakeys morayeel gymnothoraxfunebris greenmoray actinopterygii sandkey gopro hero3black,Whoa!,https://farm4.staticflickr.com/3678/9078062232_b5effc7e3f_m.jpg
1371571605,9075832777,24.452697,-81.877563,66288373@N05,florida jim scuba diving scubadiving keywest watersports floridakeys sandkey gopro hero3black,Just Me,https://farm8.staticflickr.com/7366/9075832777_576241b32a_m.jpg
1371571566,9075827981,24.452697,-81.877563,66288373@N05,florida crab scuba diving scubadiving keywest watersports floridakeys sandkey gopro brachyura spinyspidercrab coralcrab channelclingingcrab mithraxspinosissimus hero3black westindianspidercrab reefspidercrab,Monster Crab,https://farm3.staticflickr.com/2828/9075827981_6a68e67e8a_m.jpg
1371571536,9078051300,24.452697,-81.877563,66288373@N05,florida scuba diving scubadiving keywest watersports powerboat floridakeys searay sandkey gopro hero3black silkysmoothiv,Topside,https://farm3.staticflickr.com/2839/9078051300_9b9eef9d17_m.jpg
1371571511,9075821185,24.452697,-81.877563,66288373@N05,florida scuba diving scubadiving keywest watersports floridakeys trumpetfish sandkey gopro aulostomusmaculatus hero3black,Trumpetfish,https://farm3.staticflickr.com/2892/9075821185_6950a88e28_m.jpg
1367887287,8716300668,24.452833,-81.876834,73832263@N00,uploaded:by=flickrmobile flickriosapp:filter=nofilter,,https://farm8.staticflickr.com/7428/8716300668_9e59cedb49_m.jpg
1367887239,8716298822,24.454833,-81.875667,73832263@N00,uploaded:by=flickrmobile flickriosapp:filter=nofilter,,https://farm8.staticflickr.com/7427/8716298822_fa4cd88eeb_m.jpg
1367780528,8710502571,24.453374,-81.877528,73832263@N00,sandkeylighthouse uploaded:by=flickrmobile flickriosapp:filter=nofilter,,https://farm9.staticflickr.com/8136/8710502571_7a87f1781c_m.jpg
1367780291,8710489863,24.453374,-81.877528,73832263@N00,sandkeylighthouse uploaded:by=flickrmobile flickriosapp:filter=nofilter,,https://farm9.staticflickr.com/8556/8710489863_206cb34526_m.jpg
1343148394,7637928668,24.478211,-81.865837,79939076@N02,,Schnorcheltour Key West,https://farm8.staticflickr.com/7108/7637928668_c5540fc661_m.jpg
1343148324,7637921322,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm8.staticflickr.com/7272/7637921322_38f72ae2f7_m.jpg
1343148236,7637912934,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm9.staticflickr.com/8004/7637912934_ebf011ca54_m.jpg
1343148160,7637905640,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm9.staticflickr.com/8001/7637905640_a14dfb0628_m.jpg
1343148084,7637898216,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm9.staticflickr.com/8027/7637898216_f4889efa3f_m.jpg
1343147978,7637887690,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm9.staticflickr.com/8013/7637887690_d127850ba0_m.jpg
1343147909,7637881136,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm9.staticflickr.com/8019/7637881136_29d78331bc_m.jpg
1343147826,7637873024,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm8.staticflickr.com/7246/7637873024_498821946d_m.jpg
1343147735,7637864750,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm8.staticflickr.com/7128/7637864750_a3efc18011_m.jpg
